Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANCO PINE S.A.;62144175;PINE;50304;80374;b1;2;8;SAO PAULO;SP;12/2020;13.796.150;3.919.620;13.003.455;9.986.630;792.694;-64.505;2;0
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;;;;b3C;2;9;CURITIBA;PR;12/2020;13.563.933;0;13.243.562;0;320.371;0;0;0
BANCO MERCEDES-BENZ DO BRASIL S.A.;60814191;MERCEDES-BENZ;51262;80563;b2;3;8;SAO PAULO;SP;12/2020;13.462.635;12.656.046;11.409.867;10.899.557;2.052.767;72.233;2;0
BANCO BRADESCARD S.A.;4184779;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;12/2020;13.327.491;9.222.425;7.995.290;5.239;5.332.201;-174.543;2;0
BANCO CLASSICO S.A.;31597552;;;81665;b1;2;8;RIO DE JANEIRO;RJ;12/2020;13.289.421;0;4.938.676;1.358.473;8.350.745;135.705;2;0
BANCO GM S.A.;59274605;;;80848;b2;3;8;SAO PAULO;SP;12/2020;13.038.944;8.475.245;10.155.650;8.084.719;2.883.294;207.089;2;0
BANCO XP S.A.;33264668;XP;52120;82475;b1;2;8;RIO DE JANEIRO;RJ;12/2020;12.719.745;3.925.427;12.035.948;10.450.288;683.797;43.897;2;0
BANCO ITAULEASING S.A.;49925225;ITAU;10069;80099;b2;2;8;SAO PAULO;SP;12/2020;12.560.918;0;40.830;0;12.520.088;118.346;2;0
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;;;80532;b1;3;8;SAO PAULO;SP;12/2020;12.526.691;2.173.289;10.935.819;6.291.033;1.590.872;-40.826;2;0
BANCO CSF S.A.;8357240;;;81610;b2;3;8;SAO PAULO;SP;12/2020;12.388.869;11.062.638;9.571.823;1.516.053;2.817.047;178.768;2;0
BANCO RCI BRASIL S.A.;62307848;SANTANDER;30379;80185;b2;3;8;SAO PAULO;SP;12/2020;12.095.253;9.345.165;10.689.801;8.902.884;1.405.452;80.687;2;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;;;81407;b2;3;8;CURITIBA;PR;12/2020;12.048.458;11.206.355;10.653.588;10.253.414;1.394.870;93.617;2;0
LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;2206577;ITAU;10069;80099;n1;2;14;SAO PAULO;SP;12/2020;11.712.283;12.091.694;10.737.098;3.161.690;975.184;79.895;2;0
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;;;81452;b1;3;8;SAO PAULO;SP;12/2020;11.515.227;2.171.666;10.363.310;4.549.522;1.151.917;36.126;2;0
BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL;47509120;BRADESCO;10045;80075;n1;2;19;OSASCO;SP;12/2020;11.357.350;2.487.332;7.884.321;6.181.807;3.473.029;37.920;2;0
BANCO MERCANTIL DO BRASIL S.A.;17184037;MERCANTIL DO BRASIL;20152;80123;b1;2;8;BELO HORIZONTE;MG;12/2020;10.702.874;6.169.133;9.714.905;8.379.364;987.969;77.462;43;222
BANCO DO ESTADO DO PARÁ S.A.;4913711;;;81586;b1;1;8;BELEM;PA;12/2020;10.586.556;6.327.349;9.101.978;8.806.925;1.484.579;107.204;131;34
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;;;81184;n1;2;25;BRASILIA;DF;12/2020;10.477.458;2.007.611;2.255.564;2.099.325;8.221.894;33.206;63;0
BANCO BOCOM BBM S.A.;15114366;BOCOM;52003;84624;b1;3;8;SALVADOR;BA;12/2020;10.320.586;5.679.881;9.556.277;8.619.963;764.309;102.141;4;0
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;;;;b3C;2;9;BELO HORIZONTE;MG;12/2020;10.161.192;89.776;9.556.220;105.525;604.972;17.172;0;0
PORTOSEG S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;4862600;PORTO SEGURO;51444;80642;n1;2;14;SAO PAULO;SP;12/2020;10.026.907;9.954.493;8.997.201;2.175.657;1.029.705;92.067;2;0
BANCO FIBRA S.A.;58616418;;;81483;b1;2;8;SAO PAULO;SP;12/2020;9.951.290;4.717.419;8.753.741;7.874.263;1.197.549;-3.908;2;0
ADIQ SOLUCOES DE PAGAMENTO S.A.;20520298;;;80422;n4;2;41;BELO HORIZONTE;MG;12/2020;9.879.355;0;9.840.229;0;39.126;11.755;1;0
BANCO JOHN DEERE S.A.;91884981;;;80343;b1;3;8;INDAIATUBA;SP;12/2020;9.758.018;8.586.790;8.218.597;8.073.192;1.539.422;71.401;2;0
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;;;;b3C;2;9;FLORIANOPOLIS;SC;12/2020;9.193.371;201.986;8.651.360;1.707.264;542.011;26.917;0;0
